Year;Site;Var;Ridge;Plant;Emergence_Date;PlantNb
2021;Godet;Pakutrany;6;1;30/05/2021;20
2021;Godet;Pakutrany;6;2;04/06/2021;20
2021;Godet;Pakutrany;6;3;08/06/2021;20
2021;Godet;Pakutrany;6;4;08/06/2021;20
2021;Godet;Pakutrany;6;5;05/06/2021;20
2021;Godet;Pakutrany;6;6;31/05/2021;20
2021;Godet;Pakutrany;6;7;07/06/2021;20
2021;Godet;Pakutrany;6;8;07/06/2021;20
2021;Godet;Pakutrany;6;9;05/06/2021;20
2021;Godet;Pakutrany;6;10;31/05/2021;20
2021;Godet;Pakutrany;5;1;04/06/2021;20
2021;Godet;Pakutrany;5;2;31/05/2021;20
2021;Godet;Pakutrany;5;3;30/05/2021;20
2021;Godet;Pakutrany;5;4;10/06/2021;20
2021;Godet;Pakutrany;5;5;07/06/2021;20
2021;Godet;Pakutrany;5;6;01/06/2021;20
2021;Godet;Pakutrany;5;7;07/06/2021;20
2021;Godet;Pakutrany;5;8;01/06/2021;20
2021;Godet;Pakutrany;5;9;03/06/2021;20
2021;Godet;Pakutrany;5;10;05/06/2021;20
2021;Godet;A21;5;1;24/06/2021;20
2021;Godet;A21;5;2;20/06/2021;20
2021;Godet;A21;5;3;29/06/2021;20
2021;Godet;A21;5;4;22/06/2021;20
2021;Godet;A21;5;5;08/07/2021;20
2021;Godet;A21;5;6;05/07/2021;20
2021;Godet;A21;5;7;12/07/2021;20
2021;Godet;A21;5;8;01/07/2021;20
2021;Godet;A21;5;9;05/07/2021;20
2021;Godet;A21;5;10;26/06/2021;20
2021;Godet;A21;6;1;06/07/2021;20
2021;Godet;A21;6;2;30/06/2021;20
2021;Godet;A21;6;3;01/07/2021;20
2021;Godet;A21;6;4;06/07/2021;20
2021;Godet;A21;6;5;12/07/2021;20
2021;Godet;A21;6;6;12/07/2021;20
2021;Godet;A21;6;7;23/06/2021;20
2021;Godet;A21;6;8;24/06/2021;20
2021;Godet;A21;6;9;30/06/2021;20
2021;Godet;A21;6;10;30/06/2021;20
2021;Godet;Ptris;1;1;14/06/2021;20
2021;Godet;Ptris;1;2;19/06/2021;20
2021;Godet;Ptris;1;3;13/06/2021;20
2021;Godet;Ptris;1;4;20/06/2021;20
2021;Godet;Ptris;1;5;19/06/2021;20
2021;Godet;Ptris;1;6;08/06/2021;20
2021;Godet;Ptris;1;7;23/06/2021;20
2021;Godet;Ptris;1;8;07/06/2021;20
2021;Godet;Ptris;1;9;24/06/2021;20
2021;Godet;Ptris;1;10;03/06/2021;20
2021;Godet;Ptris;2;1;08/06/2021;20
2021;Godet;Ptris;2;2;12/06/2021;20
2021;Godet;Ptris;2;3;02/06/2021;20
2021;Godet;Ptris;2;4;14/06/2021;20
2021;Godet;Ptris;2;5;25/06/2021;20
2021;Godet;Ptris;2;6;21/06/2021;20
2021;Godet;Ptris;2;7;25/06/2021;20
2021;Godet;Ptris;2;8;27/06/2021;20
2021;Godet;Ptris;2;9;11/06/2021;20
2021;Godet;Ptris;2;10;14/06/2021;20
2021;Godet;HYB30;3;1;08/07/2021;20
2021;Godet;HYB30;3;2;07/07/2021;20
2021;Godet;HYB30;3;3;26/07/2021;20
2021;Godet;HYB30;3;4;13/07/2021;20
2021;Godet;HYB30;3;5;01/07/2021;20
2021;Godet;HYB30;3;6;10/07/2021;20
2021;Godet;HYB30;3;7;06/07/2021;20
2021;Godet;HYB30;3;8;06/07/2021;20
2021;Godet;HYB30;3;9;03/07/2021;20
2021;Godet;HYB30;3;10;25/07/2021;20
2021;Godet;HYB30;4;1;03/07/2021;20
2021;Godet;HYB30;4;2;;20
2021;Godet;HYB30;4;3;20/06/2021;20
2021;Godet;HYB30;4;4;26/06/2021;20
2021;Godet;HYB30;4;5;29/06/2021;20
2021;Godet;HYB30;4;6;04/07/2021;20
2021;Godet;HYB30;4;7;27/06/2021;20
2021;Godet;HYB30;4;8;25/06/2021;20
2021;Godet;HYB30;4;9;30/06/2021;20
2021;Godet;HYB30;4;10;03/07/2021;20
2021;Godet;Roujol;1;1;22/06/2021;20
2021;Godet;Roujol;1;2;10/06/2021;20
2021;Godet;Roujol;1;3;12/06/2021;20
2021;Godet;Roujol;1;4;21/06/2021;20
2021;Godet;Roujol;1;5;08/06/2021;20
2021;Godet;Roujol;1;6;27/06/2021;20
2021;Godet;Roujol;1;7;17/06/2021;20
2021;Godet;Roujol;1;8;05/06/2021;20
2021;Godet;Roujol;1;9;13/06/2021;20
2021;Godet;Roujol;1;10;17/06/2021;20
2021;Godet;Roujol;2;1;13/06/2021;20
2021;Godet;Roujol;2;2;13/06/2021;20
2021;Godet;Roujol;2;3;18/06/2021;20
2021;Godet;Roujol;2;4;18/06/2021;20
2021;Godet;Roujol;2;5;24/06/2021;20
2021;Godet;Roujol;2;6;15/06/2021;20
2021;Godet;Roujol;2;7;13/06/2021;20
2021;Godet;Roujol;2;8;10/06/2021;20
2021;Godet;Roujol;2;9;12/06/2021;20
2021;Godet;Roujol;2;10;09/06/2021;20
2021;Godet;Divin;17;1;26/06/2021;20
2021;Godet;Divin;17;2;25/06/2021;20
2021;Godet;Divin;17;3;28/06/2021;20
2021;Godet;Divin;17;4;30/06/2021;20
2021;Godet;Divin;17;5;27/06/2021;20
2021;Godet;Divin;17;6;04/07/2021;20
2021;Godet;Divin;17;7;23/06/2021;20
2021;Godet;Divin;17;8;30/06/2021;20
2021;Godet;Divin;17;9;30/06/2021;20
2021;Godet;Divin;17;10;20/06/2021;20
2021;Godet;Divin;18;1;27/06/2021;20
2021;Godet;Divin;18;2;04/07/2021;20
2021;Godet;Divin;18;3;25/06/2021;20
2021;Godet;Divin;18;4;30/06/2021;20
2021;Godet;Divin;18;5;30/06/2021;20
2021;Godet;Divin;18;6;29/06/2021;20
2021;Godet;Divin;18;7;01/07/2021;20
2021;Godet;Divin;18;8;25/06/2021;20
2021;Godet;Divin;18;9;28/06/2021;20
2021;Godet;Divin;18;10;01/07/2021;20
2021;Godet;Cinq;19;1;12/06/2021;20
2021;Godet;Cinq;19;2;23/06/2021;20
2021;Godet;Cinq;19;3;20/06/2021;20
2021;Godet;Cinq;19;4;11/06/2021;20
2021;Godet;Cinq;19;5;11/06/2021;20
2021;Godet;Cinq;19;6;09/06/2021;20
2021;Godet;Cinq;19;7;11/06/2021;20
2021;Godet;Cinq;19;8;13/06/2021;20
2021;Godet;Cinq;19;9;08/06/2021;20
2021;Godet;Cinq;19;10;20/06/2021;20
2021;Godet;Cinq;20;1;17/06/2021;20
2021;Godet;Cinq;20;2;17/06/2021;20
2021;Godet;Cinq;20;3;17/06/2021;20
2021;Godet;Cinq;20;4;30/06/2021;20
2021;Godet;Cinq;20;5;17/06/2021;20
2021;Godet;Cinq;20;6;13/06/2021;20
2021;Godet;Cinq;20;7;24/06/2021;20
2021;Godet;Cinq;20;8;15/06/2021;20
2021;Godet;Cinq;20;9;05/06/2021;20
2021;Godet;Cinq;20;10;20/06/2021;20
2021;Godet;Pacala;5;1;02/07/2021;20
2021;Godet;Pacala;5;2;11/07/2021;20
2021;Godet;Pacala;5;3;20/06/2021;20
