Year;Site;Var;PlantNb;Planting_Date
2017;Duclos;StVincent;20;14/04/2017
2017;Duclos;Kinabayo;20;14/04/2017
2017;Duclos;INRA15;20;14/04/2017
2017;Duclos;Florido;20;14/04/2017
2017;Duclos;ToufiTetea;20;14/04/2017
2017;Duclos;Pacala;20;14/04/2017
2017;Duclos;Pyramide;20;14/04/2017
2017;Duclos;Boutou;20;14/04/2017
2017;Duclos;Goana;20;14/04/2017
2017;Duclos;Plimbite;20;14/04/2017
2017;Duclos;Oriental;20;14/04/2017
2017;Duclos;Belep;20;14/04/2017
2017;Duclos;Lacbleu;15;14/04/2017
2017;Duclos;GrosseCaille;20;14/04/2017
2017;Godet;StVincent;20;14/04/2017
2017;Godet;Kinabayo;20;14/04/2017
2017;Godet;INRA15;20;14/04/2017
2017;Godet;Florido;20;14/04/2017
2017;Godet;ToufiTetea;20;14/04/2017
2017;Godet;Pacala;20;14/04/2017
2017;Godet;Pyramide;20;14/04/2017
2017;Godet;Boutou;20;14/04/2017
2017;Godet;Goana;20;14/04/2017
2017;Godet;Plimbite;20;14/04/2017
2017;Godet;Oriental;20;14/04/2017
2017;Godet;Belep;20;14/04/2017
2017;Godet;GrosseCaille;10;14/04/2017
2021;Godet;H2X74F;20;07/06/2021
2021;Godet;A14;20;31/05/2021
2021;Godet;A17;20;16/06/2021
2021;Godet;A2;20;19/05/2021
2021;Godet;A21;20;07/06/2021
2021;Godet;A22;20;31/05/2021
2021;Godet;A6;20;19/05/2021
2021;Godet;A9;20;07/06/2021
2021;Godet;Belep;20;19/05/2021
2021;Godet;BeteBete;20;19/05/2021
2021;Godet;Boutou;20;16/06/2021
2021;Godet;Caplaou;20;31/05/2021
2021;Godet;Cinq;20;19/05/2021
2021;Godet;Divin;20;07/06/2021
2021;Godet;Dou;20;19/05/2021
2021;Godet;Fenakue;20;19/05/2021
2021;Godet;Florido;20;19/05/2021
2021;Godet;Goana;20;19/05/2021
2021;Godet;Gordito;20;19/05/2021
2021;Godet;GrandEtang;20;19/05/2021
2021;Godet;GrosseCaille;20;19/05/2021
2021;Godet;H4X131;20;19/05/2021
2021;Godet;H4X172;20;19/05/2021
2021;Godet;HYB30;20;09/06/2021
2021;Godet;HYB5;20;19/05/2021
2021;Godet;HYB6;20;01/07/2021
2021;Godet;INRAX154;20;19/05/2021
2021;Godet;INRA15;20;31/05/2021
2021;Godet;Kabusa;20;19/05/2021
2021;Godet;Kinabayo;20;19/05/2021
2021;Godet;KL21;20;19/05/2021
2021;Godet;LacBleu;20;01/07/2021
2021;Godet;Manlankon;20;19/05/2021
2021;Godet;MP1;20;01/07/2021
2021;Godet;Noulelcae;20;19/05/2021
2021;Godet;Nureangdan;20;31/05/2021
2021;Godet;Oriental;20;19/05/2021
2021;Godet;Pacala;20;31/05/2021
2021;Godet;Pakutrany;20;19/05/2021
2021;Godet;Peter;20;19/05/2021
2021;Godet;Plimbite;20;31/05/2021
2021;Godet;Ptris;20;19/05/2021
2021;Godet;Pyramide;20;07/06/2021
2021;Godet;Roujol;20;19/05/2021
