"Variable";"Replicate";"Date";"Yam_Cover_Percentage"
"74F";"RP1";"220627";0,0696904891101961
"74F";"RP1";"220711";0,000445513677269892
"74F";"RP1";"220725";2,91438176587914
"74F";"RP1";"220826";24,3603441227842
"74F";"RP1";"221007";43,3680546233903
"74F";"RP1";"221117";54,4847838957963
"74F";"RP1";"221213";34,2610753089879
"74F";"RP1";"230113";4,42011298500122
"A01";"RP1";"220627";1,51032028469751
"A01";"RP1";"220711";7,81217618293818
"A01";"RP1";"220725";14,1834664796774
"A01";"RP1";"220826";29,7317546942928
"A01";"RP1";"221007";45,7677770543981
"A01";"RP1";"221117";18,653257127058
"A01";"RP1";"221213";5,23517126148705
"A01";"RP1";"230113";0,0449755190072676
"A109";"RP1";"220627";1,07662099852185
"A109";"RP1";"220711";7,10553082687121
"A109";"RP1";"220725";27,1204449994324
"A109";"RP1";"220826";62,4856396866841
"A109";"RP1";"221007";67,1758525955954
"A109";"RP1";"221117";72,5340817963111
"A109";"RP1";"221213";62,6269030059947
"A109";"RP1";"230113";42,1259912679319
"A53";"RP1 ";"220826";46,9107652216783
"A53";"RP1";"220627";0,166666666666667
"A53";"RP1";"220711";11,6357395884955
"A53";"RP1";"220725";24,6460547788118
"A53";"RP1";"221007";64,9511278195489
"A53";"RP1";"221117";53,2721330640876
"A53";"RP1";"221213";49,3491794001132
"A53";"RP1";"230113";11,3022303847665
"A58";"RP1";"220627";2,91644604468919
"A58";"RP1";"220711";17,7949078606855
"A58";"RP1";"220725";30,2770384875271
"A58";"RP1";"220826";51,9037623551918
"A58";"RP1";"221007";51,3973529490725
"A58";"RP1";"221117";53,7676321835026
"A58";"RP1";"221213";23,3670110114655
"A58";"RP1";"230113";0,0891165794164031
