"AN";"Site";"Var";"Date_Emergence";"DOY_Date_Emergence";"N";"Nb_Pl";"Nc";"Emergence";"Nb_semenceaux";"Poids_semenceaux_plantes";"Observations";"Date_germination1";"Date_germination50";"Date_plantation";"Date_floraison";"Date_senescence1";"Date_senescence50";"Date_senescence";"Date_recolte";"Nb_MOO";"Time_start";"Time_end";"DifTime";"HarvestTime";"Nb_tubercules";"Nb_tubercules_casses";"Sexe";"DOY_Date_germination1";"DOY_Date_germination50";"DOY_Date_plantation";"DOY_Date_floraison";"DOY_Date_senescence1";"DOY_Date_senescence50";"DOY_Date_senescence";"DOY_Date_recolte"
2017;"Duclos";"Belep";2017-05-12;132;4;20;4;0,2;20;NA;"";NA;NA;2017-04-14;NA;2017-11-08;2017-12-05;NA;2018-01-16;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;312;339;NA;381
2017;"Duclos";"Belep";2017-05-19;139;6;20;10;0,5;20;NA;"";NA;NA;2017-04-14;NA;2017-11-08;2017-12-05;NA;2018-01-16;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;312;339;NA;381
2017;"Duclos";"Belep";2017-05-24;144;8;20;18;0,9;20;NA;"";NA;NA;2017-04-14;NA;2017-11-08;2017-12-05;NA;2018-01-16;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;312;339;NA;381
2017;"Duclos";"Belep";2017-06-02;153;2;20;20;1;20;NA;"";NA;NA;2017-04-14;NA;2017-11-08;2017-12-05;NA;2018-01-16;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;312;339;NA;381
2017;"Duclos";"Boutou";2017-05-12;132;8;20;8;0,4;20;NA;"";NA;NA;2017-04-14;NA;2017-11-08;2017-12-14;NA;2018-01-18;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;312;348;NA;383
2017;"Duclos";"Boutou";2017-05-19;139;6;20;14;0,7;20;NA;"";NA;NA;2017-04-14;NA;2017-11-08;2017-12-14;NA;2018-01-18;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;312;348;NA;383
2017;"Duclos";"Boutou";2017-05-24;144;4;20;18;0,9;20;NA;"";NA;NA;2017-04-14;NA;2017-11-08;2017-12-14;NA;2018-01-18;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;312;348;NA;383
2017;"Duclos";"Boutou";2017-06-02;153;2;20;20;1;20;NA;"";NA;NA;2017-04-14;NA;2017-11-08;2017-12-14;NA;2018-01-18;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;312;348;NA;383
2017;"Duclos";"Florido";2017-05-05;125;4;20;4;0,2;20;NA;"";NA;NA;2017-04-14;NA;2017-10-24;2017-11-17;NA;2017-12-15;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;297;321;NA;349
2017;"Duclos";"Florido";2017-05-12;132;6;20;10;0,5;20;NA;"";NA;NA;2017-04-14;NA;2017-10-24;2017-11-17;NA;2017-12-15;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;297;321;NA;349
2017;"Duclos";"Florido";2017-05-19;139;9;20;19;0,95;20;NA;"";NA;NA;2017-04-14;NA;2017-10-24;2017-11-17;NA;2017-12-15;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;297;321;NA;349
2017;"Duclos";"Florido";2017-05-24;144;1;20;20;1;20;NA;"";NA;NA;2017-04-14;NA;2017-10-24;2017-11-17;NA;2017-12-15;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;297;321;NA;349
2017;"Duclos";"Goana";2017-05-12;132;2;20;2;0,1;20;NA;"";NA;NA;2017-04-14;NA;2017-11-17;2017-12-14;NA;2018-01-16;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;321;348;NA;381
2017;"Duclos";"Goana";2017-05-19;139;7;20;9;0,45;20;NA;"";NA;NA;2017-04-14;NA;2017-11-17;2017-12-14;NA;2018-01-16;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;321;348;NA;381
2017;"Duclos";"Goana";2017-05-24;144;3;20;12;0,6;20;NA;"";NA;NA;2017-04-14;NA;2017-11-17;2017-12-14;NA;2018-01-16;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;321;348;NA;381
2017;"Duclos";"Goana";2017-06-02;153;5;20;17;0,85;20;NA;"";NA;NA;2017-04-14;NA;2017-11-17;2017-12-14;NA;2018-01-16;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;321;348;NA;381
2017;"Duclos";"Goana";2017-06-09;160;2;20;19;0,95;20;NA;"";NA;NA;2017-04-14;NA;2017-11-17;2017-12-14;NA;2018-01-16;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;321;348;NA;381
2017;"Duclos";"Goana";2017-06-16;167;1;20;20;1;20;NA;"";NA;NA;2017-04-14;NA;2017-11-17;2017-12-14;NA;2018-01-16;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;321;348;NA;381
2017;"Duclos";"INRA15";2017-05-15;135;2;20;2;0,1;20;NA;"";NA;NA;2017-04-14;NA;2017-11-06;2018-01-19;NA;2018-02-15;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;310;384;NA;411
2017;"Duclos";"INRA15";2017-05-19;139;1;20;3;0,15;20;NA;"";NA;NA;2017-04-14;NA;2017-11-06;2018-01-19;NA;2018-02-15;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;310;384;NA;411
2017;"Duclos";"INRA15";2017-06-02;153;3;20;6;0,3;20;NA;"";NA;NA;2017-04-14;NA;2017-11-06;2018-01-19;NA;2018-02-15;"";"";"";"";NA;NA;NA;"";NA;NA;104;NA;310;384;NA;411
